PCR(€/kWh);PCG(€/kWh);EHE(kWh);EHR(kWh)
0.04422;0.051;27.27068613;1344.024463
0.03284;0.051;27.79284679;1293.068818
0.04208;0.051;29.21227013;1284.553871
0.05556;0.051;37.74051946;1286.695267
0.11153;0.051;44.56618213;1273.368761
0.07308;0.051;53.98432413;1362.742067
0.07947;0.051;50.81878013;1427.317541
0.03353;0.051;44.29531744;1891.129064
0.051867;0.051;30.7440268;2345.922708
0.09038;0.051;3.15502;3196.752842
0.18464;0.051;5.88441;3253.079867
0.16464;0.051;8.32681;3238.05349
0.20119;0.051;9.61107;3237.367883
0.21547;0.051;8.8687652;3130.918231
0.08672;0.051;7.9921498;3202.611488
0.10645;0.051;6.776595;3212.910874
0.07676;0.051;5.04379;3192.53092
0.14967;0.051;2.93365;3230.486466
0.18493;0.051;0.69924;2993.79924
0.18103;0.051;0.0431994;2531.050568
0.23332;0.051;0;2486.231039
0.19861;0.051;0;2180.577008
0.07942;0.051;0;1747.006399
0.07045;0.051;0.0207036;1383.630309
