Nombre;Perfil;Fecha;Hora;Periodo;Consumo_(W);Generacion_(W)
Residencial 1;Residencial;01/01/2020;1.00;3.00;294.01;0
Residencial 1;Residencial;01/01/2020;2.00;3.00;504;0
Residencial 1;Residencial;01/01/2020;3.00;3.00;245;0
Residencial 1;Residencial;01/01/2020;4.00;3.00;253;0
Residencial 1;Residencial;01/01/2020;5.00;3.00;122;0
Residencial 1;Residencial;01/01/2020;6.00;3.00;208;0
Residencial 1;Residencial;01/01/2020;7.00;3.00;278;0
Residencial 1;Residencial;01/01/2020;8.00;2.00;106;0
Residencial 1;Residencial;01/01/2020;9.00;2.00;284;0
Residencial 1;Residencial;01/01/2020;10.00;1.00;183;19.95
Residencial 1;Residencial;01/01/2020;11.00;1.00;361;42.73
Residencial 1;Residencial;01/01/2020;12.00;1.00;889;319.05
Residencial 1;Residencial;01/01/2020;13.00;1.00;637;306.5
Residencial 1;Residencial;01/01/2020;14.00;2.00;1377;0
Residencial 1;Residencial;01/01/2020;15.00;2.00;844;0
Residencial 1;Residencial;01/01/2020;16.00;2.00;943;52.88
Residencial 1;Residencial;01/01/2020;17.00;2.00;1474;247.85
Residencial 1;Residencial;01/01/2020;18.00;1.00;909;0
Residencial 1;Residencial;01/01/2020;19.00;1.00;766;0
Residencial 1;Residencial;01/01/2020;20.00;1.00;684;0
Residencial 1;Residencial;01/01/2020;21.00;1.00;1084;0
