Nombre;Perfil;Fecha;Hora;Periodo;Consumo_(W);Generacion_(W)
Hospital;Servicios;01/01/2020;1;6;683322.8684;0
Hospital;Servicios;01/01/2020;2;6;654239.8709;0
Hospital;Servicios;01/01/2020;3;6;647142.3717;0
Hospital;Servicios;01/01/2020;4;6;627540.1532;0
Hospital;Servicios;01/01/2020;5;6;660178.2498;0
Hospital;Servicios;01/01/2020;6;6;657550.0604;0
Hospital;Servicios;01/01/2020;7;6;716167.5106;0
Hospital;Servicios;01/01/2020;8;2;730814.9094;0
Hospital;Servicios;01/01/2020;9;1;875243.2981;0
Hospital;Servicios;01/01/2020;10;1;943856.1005;0
Hospital;Servicios;01/01/2020;11;1;982963.3102;0
Hospital;Servicios;01/01/2020;12;1;988797.5105;0
Hospital;Servicios;01/01/2020;13;1;993271.0932;0
Hospital;Servicios;01/01/2020;14;2;989374.1981;0
Hospital;Servicios;01/01/2020;15;2;994524.7587;0
Hospital;Servicios;01/01/2020;16;2;998383.9327;0
Hospital;Servicios;01/01/2020;17;2;975511.0295;0
Hospital;Servicios;01/01/2020;18;1;924808.2016;0
Hospital;Servicios;01/01/2020;19;1;869520.7745;0
Hospital;Servicios;01/01/2020;20;1;876072.921;0
Hospital;Servicios;01/01/2020;21;1;857055.6981;0
