Fecha;Hora;Precios_Mercado(€/MW);Precio_CO2(€/Tn);Demanda(GWh);Temperatura_max(ºC);Temperatura_min(ºC);Precipitacion(l/m2);Velocidad_media(km/h);Irradiancia
01/01/2020;1:00:00;41.88;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;2:00:00;38.6;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;3:00:00;36.55;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;4:00:00;32.32;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;5:00:00;30.85;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;6:00:00;30.14;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;7:00:00;30.17;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;8:00:00;30;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;9:00:00;30.65;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;10:00:00;30.65;24.24;538.908177;15.6;4.6;0;3.96;12
01/01/2020;11:00:00;30.27;24.24;538.908177;15.6;4.6;0;3.96;2
01/01/2020;12:00:00;30.34;24.24;538.908177;15.6;4.6;0;3.96;98
01/01/2020;13:00:00;30.99;24.24;538.908177;15.6;4.6;0;3.96;40
01/01/2020;14:00:00;30.04;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;15:00:00;30.75;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;16:00:00;32.11;24.24;538.908177;15.6;4.6;0;3.96;4
01/01/2020;17:00:00;35.98;24.24;538.908177;15.6;4.6;0;3.96;53.15
01/01/2020;18:00:00;40.4;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;19:00:00;44.05;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;20:00:00;46.16;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;21:00:00;44.02;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;22:00:00;45.6;24.24;538.908177;15.6;4.6;0;3.96;0
01/01/2020;23:00:00;42.9;24.24;538.908177;15.6;4.6;0;3.96;0
02/01/2020;0:00:00;37.55;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;1:00:00;35.4;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;2:00:00;31.98;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;3:00:00;30.5;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;4:00:00;28.79;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;5:00:00;28.42;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;6:00:00;28.75;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;7:00:00;34.16;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;8:00:00;42.07;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;9:00:00;44.89;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;10:00:00;45.26;24.24;683.057887;16.1;6.3;0;3.96;169.46
02/01/2020;11:00:00;45.57;24.24;683.057887;16.1;6.3;0;3.96;400.01
02/01/2020;12:00:00;45.09;24.24;683.057887;16.1;6.3;0;3.96;116
02/01/2020;13:00:00;45.16;24.24;683.057887;16.1;6.3;0;3.96;210
02/01/2020;14:00:00;44.9;24.24;683.057887;16.1;6.3;0;3.96;652.02
02/01/2020;15:00:00;44.06;24.24;683.057887;16.1;6.3;0;3.96;558.02
02/01/2020;16:00:00;43.94;24.24;683.057887;16.1;6.3;0;3.96;200.01
02/01/2020;17:00:00;44.37;24.24;683.057887;16.1;6.3;0;3.96;86.34
02/01/2020;18:00:00;46.05;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;19:00:00;46.72;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;20:00:00;46.11;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;21:00:00;43.7;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;22:00:00;42;24.24;683.057887;16.1;6.3;0;3.96;0
02/01/2020;23:00:00;38.6;24.24;683.057887;16.1;6.3;0;3.96;0
