Hora;Precios_Mercado(euro/MW);Precio_CO2(euro/Tn);Demanda(GWh);Temperatura_max(.C);Temperatura_min(.C);Precipitacion(l/m2);Velocidad_media(km/h);Irradiancia (W/m2)
1;41.88;24.24;11.47;15.6;4.6;0;3.96;0
2;38.6;24.24;11.47;15.6;4.6;0;3.96;0
3;36.55;24.24;11.47;15.6;4.6;0;3.96;0
4;32.32;24.24;11.47;15.6;4.6;0;3.96;0
5;30.85;24.24;11.47;15.6;4.6;0;3.96;0
6;30.14;24.24;11.47;15.6;4.6;0;3.96;0
7;30.17;24.24;11.47;15.6;4.6;0;3.96;0
8;30.00;24.24;22.93;15.6;4.6;0;3.96;0
9;30.65;24.24;22.93;15.6;4.6;0;3.96;0
10;30.65;24.24;34.4;15.6;4.6;0;3.96;12
11;30.27;24.24;34.4;15.6;4.6;0;3.96;2
12;30.34;24.24;34.4;15.6;4.6;0;3.96;98
13;30.99;24.24;34.4;15.6;4.6;0;3.96;40
14;30.04;24.24;22.93;15.6;4.6;0;3.96;0
15;30.75;24.24;22.93;15.6;4.6;0;3.96;0
16;32.11;24.24;22.93;15.6;4.6;0;3.96;4
17;35.98;24.24;34.4;15.6;4.6;0;3.96;53.15
18;40.4;24.24;34.4;15.6;4.6;0;3.96;0
19;44.05;24.24;34.4;15.6;4.6;0;3.96;0
20;46.16;24.24;22.93;15.6;4.6;0;3.96;0
21;44.02;24.24;22.93;15.6;4.6;0;3.96;0
22;45.6;24.24;22.93;15.6;4.6;0;3.96;0
23;42.9;24.24;22.93;15.6;4.6;0;3.96;0
0;37.55;24.24;14.53;16.1;6.3;0;3.96;0
1;35.4;24.24;14.53;16.1;6.3;0;3.96;0
2;31.98;24.24;14.53;16.1;6.3;0;3.96;0
3;30.5;24.24;14.53;16.1;6.3;0;3.96;0
4;28.79;24.24;14.53;16.1;6.3;0;3.96;0
5;28.42;24.24;14.53;16.1;6.3;0;3.96;0
6;28.75;24.24;14.53;16.1;6.3;0;3.96;0
7;34.16;24.24;14.53;16.1;6.3;0;3.96;0
8;42.07;24.24;29.07;16.1;6.3;0;3.96;0
9;44.89;24.24;29.07;16.1;6.3;0;3.96;0
10;45.26;24.24;43.6;16.1;6.3;0;3.96;169.46
11;45.57;24.24;43.6;16.1;6.3;0;3.96;400.01
12;45.09;24.24;43.6;16.1;6.3;0;3.96;116
13;45.16;24.24;43.6;16.1;6.3;0;3.96;210
14;44.9;24.24;29.07;16.1;6.3;0;3.96;652.02
15;44.06;24.24;29.07;16.1;6.3;0;3.96;558.02
16;43.94;24.24;29.07;16.1;6.3;0;3.96;200.01
17;44.37;24.24;43.6;16.1;6.3;0;3.96;86.34
18;46.05;24.24;43.6;16.1;6.3;0;3.96;0
19;46.72;24.24;43.6;16.1;6.3;0;3.96;0
20;46.11;24.24;29.07;16.1;6.3;0;3.96;0
21;43.7;24.24;29.07;16.1;6.3;0;3.96;0
22;42.00;24.24;29.07;16.1;6.3;0;3.96;0
23;38.6;24.24;29.07;16.1;6.3;0;3.96;0
0;33.39;24.86;15.19;17;7.2;0;5.04;0
1;32.05;24.86;15.19;17;7.2;0;5.04;0
2;30.75;24.86;15.19;17;7.2;0;5.04;0
3;29.97;24.86;15.19;17;7.2;0;5.04;0
4;29.8;24.86;15.19;17;7.2;0;5.04;0
5;29.74;24.86;15.19;17;7.2;0;5.04;0
6;29.87;24.86;15.19;17;7.2;0;5.04;0
7;31.21;24.86;15.19;17;7.2;0;5.04;0
8;36.73;24.86;30.38;17;7.2;0;5.04;0
9;42.9;24.86;30.38;17;7.2;0;5.04;10
10;46.00;24.86;45.57;17;7.2;0;5.04;48
11;47.23;24.86;45.57;17;7.2;0;5.04;152
12;46.03;24.86;45.57;17;7.2;0;5.04;8
13;44.9;24.86;45.57;17;7.2;0;5.04;74
14;44.44;24.86;30.38;17;7.2;0;5.04;0
15;41.19;24.86;30.38;17;7.2;0;5.04;0
