Nombre;Perfil;Fecha;Hora;Periodo;Consumo_(W);Generacion_(W)
Residencial 1;Residencial;43831;1;3;294.01;0
Residencial 1;Residencial;43831;2;3;504;0
Residencial 1;Residencial;43831;3;3;245;0
Residencial 1;Residencial;43831;4;3;253;0
Residencial 1;Residencial;43831;5;3;122;0
Residencial 1;Residencial;43831;6;3;208;0
Residencial 1;Residencial;43831;7;3;278;0
Residencial 1;Residencial;43831;8;2;106;0
Residencial 1;Residencial;43831;9;2;284;0
Residencial 1;Residencial;43831;10;1;183;19.95
Residencial 1;Residencial;43831;11;1;361;42.73
Residencial 1;Residencial;43831;12;1;889;319.05
Residencial 1;Residencial;43831;13;1;637;306.5
Residencial 1;Residencial;43831;14;2;1377;0
Residencial 1;Residencial;43831;15;2;844;0
Residencial 1;Residencial;43831;16;2;943;52.88
Residencial 1;Residencial;43831;17;2;1474;247.85
Residencial 1;Residencial;43831;18;1;909;0
Residencial 1;Residencial;43831;19;1;766;0
Residencial 1;Residencial;43831;20;1;684;0
Residencial 1;Residencial;43831;21;1;1084;0
Residencial 1;Residencial;43831;22;2;766;0
Residencial 1;Residencial;43831;23;1;462;0
